workload,group,score
sdss,within,0.875000
sdss,within,0.875000
sdss,within,0.811098
sdss,within,0.875000
sdss,within,0.851124
sdss,within,0.866929
sdss,within,0.992606
sdss,within,0.992606
sdss,within,0.992606
sdss,within,1.000000
sdss,within,0.992606
sdss,within,0.992606
sdss,within,0.982606
sdss,within,0.928193
sdss,within,0.939223
sdss,within,0.991849
sdss,within,0.785279
sdss,within,0.825576
sdss,within,0.633944
sdss,within,0.693872
sdss,within,0.889694
sdss,within,0.875000
sdss,within,0.855544
sdss,within,0.872796
sdss,within,0.698848
sdss,within,0.643995
sdss,within,0.813416
sdss,within,0.558244
sdss,within,0.792114
sdss,within,0.894477
sdss,within,0.881293
sdss,within,0.902017
sdss,within,0.891025
sdss,within,0.673598
sdss,within,0.622121
sdss,within,0.847406
sdss,within,0.775033
sdss,within,0.672553
sdss,within,0.508449
sdss,within,0.906835
sdss,within,0.735352
sdss,within,0.783043
sdss,within,0.646386
sdss,within,0.766671
sdss,within,0.828045
sdss,within,0.840682
sdss,within,0.841818
sdss,within,0.846414
sdss,within,0.818194
sdss,within,0.864175
sdss,within,0.599000
sdss,within,0.738744
sdss,within,0.823485
sdss,within,0.875000
sdss,within,0.708647
sdss,within,0.610879
sdss,within,0.544699
sdss,within,0.752959
sdss,within,0.675735
sdss,within,0.738425
sdss,within,0.817212
sdss,within,0.738623
sdss,within,0.671322
sdss,within,0.699490
sdss,within,0.897444
sdss,within,0.750432
sdss,within,0.708362
sdss,within,0.752711
sdss,within,0.627697
sdss,within,0.716097
sdss,within,0.776008
sdss,within,0.926835
sdss,within,0.789628
sdss,within,0.654902
sdss,within,0.776324
sdss,within,0.676007
sdss,within,0.819479
sdss,within,0.547046
sdss,within,0.681088
sdss,within,0.657878
sdss,within,0.752775
sdss,within,0.696764
sdss,within,0.741760
sdss,within,0.773773
sdss,within,0.699830
sdss,within,0.878693
sdss,within,0.717846
sdss,within,0.688400
sdss,within,0.715070
sdss,within,0.754090
sdss,within,0.798764
sdss,within,0.576360
sdss,within,0.735315
sdss,within,0.645728
sdss,within,0.552786
sdss,within,0.710093
sdss,within,0.762499
sdss,within,0.785374
sdss,within,0.826258
sdss,within,0.730694
sdss,within,0.781736
sdss,within,0.606597
sdss,within,0.609775
sdss,within,0.773870
sdss,within,0.673377
sdss,within,0.664154
sdss,within,0.760514
sdss,within,0.762759
sdss,within,0.663618
sdss,within,0.592180
sdss,within,0.797740
sdss,within,0.792661
sdss,within,0.869111
sdss,within,0.650403
sdss,within,0.696805
sdss,within,0.778951
sdss,within,0.751951
sdss,within,0.611008
sdss,within,0.877706
sdss,within,0.737321
sdss,within,0.601996
sdss,within,0.794062
sdss,within,0.692279
sdss,within,0.776267
sdss,within,0.618584
sdss,within,0.659537
sdss,within,0.709883
sdss,within,0.690924
sdss,within,0.616411
sdss,within,0.681221
sdss,within,0.795236
sdss,within,0.756019
sdss,within,0.909199
sdss,within,0.813317
sdss,within,0.830313
sdss,within,0.944466
sdss,within,0.816082
sdss,within,0.862094
sdss,within,0.927563
sdss,within,0.932209
sdss,within,0.883743
sdss,within,0.903692
sdss,within,0.869772
sdss,within,0.889178
sdss,within,0.945522
sdss,within,0.859522
sdss,within,0.837581
sdss,within,0.875120
sdss,within,0.848205
sdss,within,0.948294
sdss,within,0.689673
sdss,within,0.906457
sdss,within,0.898926
sdss,within,0.897897
sdss,within,0.877806
sdss,within,0.889037
sdss,within,0.903019
sdss,within,0.842551
sdss,within,0.939968
sdss,within,0.835404
sdss,within,0.826568
sdss,within,0.797694
sdss,within,0.717815
sdss,within,0.805041
sdss,within,0.833237
sdss,within,0.800331
sdss,within,0.868504
sdss,within,0.856249
sdss,within,0.898664
sdss,within,0.795353
sdss,within,0.860131
sdss,within,0.934995
sdss,within,0.764355
sdss,within,0.920224
sdss,within,0.833434
sdss,within,0.780340
sdss,within,0.734571
sdss,within,0.771595
sdss,within,0.934807
sdss,within,0.897699
sdss,within,0.953422
sdss,within,0.935141
sdss,within,0.799771
sdss,within,0.825782
sdss,within,0.818081
sdss,within,0.745176
sdss,within,0.875020
sdss,within,0.834293
sdss,within,0.813699
sdss,within,0.815770
sdss,within,0.832197
sdss,within,0.894795
sdss,within,0.915249
sdss,within,0.860025
sdss,within,0.901782
sdss,within,0.826839
sdss,within,0.835502
sdss,within,0.903595
sdss,within,0.762572
sdss,within,0.842323
sdss,within,0.935376
sdss,within,0.932610
sdss,within,0.874046
sdss,within,0.834760
sdss,within,0.902232
sdss,within,0.961288
sdss,within,0.929744
sdss,within,0.820013
sdss,within,0.813359
sdss,within,0.841149
sdss,within,0.941061
sdss,within,0.845379
sdss,within,0.915759
sdss,within,0.909560
sdss,within,0.901800
sdss,within,0.967652
sdss,within,0.961058
sdss,within,0.687244
sdss,within,0.903579
sdss,within,0.651726
sdss,within,0.818078
sdss,within,0.629850
sdss,within,0.606660
sdss,within,0.791091
sdss,within,0.650946
sdss,within,0.711477
sdss,within,0.625264
sdss,within,0.537573
sdss,within,0.818720
sdss,within,0.600104
sdss,within,0.675467
sdss,within,0.590807
sdss,within,0.703207
sdss,within,0.658589
sdss,within,0.614314
sdss,within,0.745921
sdss,within,0.720598
sdss,within,0.734520
sdss,within,0.833340
sdss,within,0.880928
sdss,within,0.678804
sdss,within,0.867784
sdss,within,0.837267
sdss,within,0.816474
sdss,within,0.814312
sdss,within,0.794875
sdss,within,0.754921
sdss,within,0.793089
sdss,within,0.794478
sdss,within,0.826851
sdss,within,0.881129
sdss,within,0.881514
sdss,within,0.729802
sdss,within,0.633971
sdss,within,0.720136
sdss,within,0.875780
sdss,within,0.950334
sdss,within,0.929088
sdss,within,0.595021
sdss,within,0.801021
sdss,within,0.684005
sdss,within,0.698438
sdss,within,0.690487
sdss,within,0.855378
sdss,within,0.780266
sdss,within,0.794015
sdss,within,0.892797
sdss,within,0.776687
sdss,within,0.894018
sdss,within,0.761393
sdss,within,0.839734
sdss,within,0.588658
sdss,within,0.420463
sdss,within,0.488817
sdss,within,0.776286
sdss,within,0.696483
sdss,within,0.679143
sdss,within,0.895077
sdss,within,0.688825
sdss,within,0.879711
sdss,within,0.903073
sdss,within,0.654705
sdss,within,0.660208
sdss,within,0.763781
sdss,within,0.766748
sdss,within,0.799921
sdss,within,0.848823
sdss,within,0.885976
sdss,within,0.808737
sdss,within,0.868175
sdss,within,0.629938
sdss,within,0.901089
sdss,within,0.793153
sdss,within,0.634647
sdss,within,0.563427
sdss,within,0.657631
sdss,within,0.798688
sdss,within,0.949203
sdss,within,0.952814
sdss,within,0.891323
sdss,within,0.700459
sdss,within,0.868060
sdss,within,0.887680
sdss,within,0.844575
sdss,within,0.881056
sdss,within,0.539272
