timestamp,block,order_in_block,policy,advisor,wall_time_s,total_query_time_s,total_advisor_time_s,num_queries,errors,qps,wall_qps,advisor_calls,trigger_rate,trigger_precision,transitions_hit,transitions_total,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_skip_ms,latency_mean_trigger_ms
2026-04-15T17:41:32,7,2,baseline,none,0.933887,0.929272,0.0,120,0,129.133274,128.495192,0,0.0,0.0,0,3,0.379667,42.202292,69.227917,7.740485,0.0
2026-04-15T17:41:36,7,3,periodic,dexter,1.792349,0.958644,0.829731,120,0,125.176839,66.951254,7,0.291667,0.428571,3,3,0.3315,45.024375,68.665333,7.72373,8.622856
2026-04-15T17:41:41,7,4,always_on,dexter,3.468446,1.024478,2.43824,120,0,117.132861,34.597622,24,1.0,0.125,3,3,0.40775,50.343209,70.225125,0.0,8.534339
2026-04-15T17:41:45,7,5,periodic,supabase,1.288842,0.750839,0.532947,120,0,159.821134,93.106802,7,0.291667,0.428571,3,3,0.29925,36.353584,67.441791,6.24168,6.281063
2026-04-15T17:41:49,7,6,hsm_gated,dexter,2.182042,0.995103,1.135663,120,0,120.590527,54.994369,11,0.458333,0.272727,3,3,0.372541,49.955625,69.776667,8.684865,7.822124
2026-04-15T17:41:53,7,7,hsm_gated,supabase,2.121968,0.72305,1.335411,120,0,165.963712,56.551267,11,0.458333,0.272727,3,3,0.213667,35.280292,69.2345,5.163327,7.037806
2026-04-15T17:41:57,8,1,periodic,dexter,1.70831,0.955122,0.749005,120,0,125.638422,70.24487,7,0.291667,0.428571,3,3,0.330583,42.165791,69.266042,6.633941,11.167673
2026-04-15T17:42:01,8,2,hsm_gated,supabase,2.824523,0.749355,2.011536,120,0,160.137647,42.485053,14,0.583333,0.214286,3,3,0.304625,36.021959,68.851459,2.29912,9.057426
2026-04-15T17:42:07,8,3,always_on,dexter,3.462519,1.015624,2.440944,120,0,118.153968,34.656848,24,1.0,0.125,3,3,0.385542,45.162,68.965625,0.0,8.460959
2026-04-15T17:42:12,8,4,always_on,supabase,2.635006,0.73063,1.899719,120,0,164.241931,45.54069,24,1.0,0.125,3,3,0.226208,34.872083,69.25675,0.0,6.085818
2026-04-15T17:42:16,8,5,hsm_gated,dexter,2.510069,1.005418,1.450871,120,0,119.353373,47.807459,14,0.583333,0.214286,3,3,0.359166,43.654166,68.967625,3.993509,11.505772
2026-04-15T17:42:20,8,6,periodic,supabase,1.322265,0.638104,0.679768,120,0,188.057107,90.753366,7,0.291667,0.428571,3,3,0.274416,31.049292,69.117208,4.811514,6.534632
2026-04-15T17:42:23,8,7,baseline,none,0.942308,0.937937,0.0,120,0,127.940312,127.346948,0,0.0,0.0,0,3,0.389083,37.794167,68.45825,7.812724,0.0
2026-04-15T17:42:26,9,1,periodic,dexter,1.740207,0.987481,0.748835,120,0,121.521367,68.957304,7,0.291667,0.428571,3,3,0.348,42.331458,69.941417,7.168531,10.793004
2026-04-15T17:42:31,9,2,hsm_gated,supabase,2.199762,0.602669,1.535656,120,0,199.114136,54.551353,14,0.583333,0.142857,2,3,0.285875,30.257417,70.8255,2.02109,7.16119
2026-04-15T17:42:36,9,3,always_on,dexter,3.47315,1.010038,2.456838,120,0,118.807416,34.550773,24,1.0,0.125,3,3,0.360125,41.961875,75.395584,0.0,8.41391
2026-04-15T17:42:39,9,4,baseline,none,0.943364,0.938517,0.0,120,0,127.861302,127.204413,0,0.0,0.0,0,3,0.376875,32.285458,68.531709,7.817424,0.0
2026-04-15T17:42:42,9,5,periodic,supabase,1.372929,0.656736,0.712096,120,0,182.721778,87.404356,7,0.291667,0.428571,3,3,0.240375,31.964583,68.645792,5.030018,6.539051
2026-04-15T17:42:47,9,6,always_on,supabase,2.816932,0.668602,2.143241,120,0,179.478928,42.599535,24,1.0,0.125,3,3,0.261417,32.79075,70.039917,0.0,5.569053
2026-04-15T17:42:52,9,7,hsm_gated,dexter,2.721432,1.044984,1.62098,120,0,114.834335,44.094425,14,0.583333,0.142857,2,3,0.324666,38.728041,82.27475,4.798745,11.49561
2026-04-15T17:42:56,10,1,periodic,dexter,1.822219,1.021512,0.796546,120,0,117.472923,65.853787,7,0.291667,0.428571,3,3,0.306584,46.433041,85.362,8.632134,8.210437
2026-04-15T17:43:00,10,2,hsm_gated,supabase,1.862204,0.755323,1.019194,120,0,158.872455,64.439783,11,0.458333,0.181818,2,3,0.333333,35.462334,67.957542,4.019116,8.974083
2026-04-15T17:43:04,10,3,hsm_gated,dexter,2.187211,0.982242,1.164001,120,0,122.169439,54.864389,11,0.458333,0.181818,2,3,0.306542,49.31,70.09025,4.066812,13.046398
2026-04-15T17:43:09,10,4,always_on,supabase,2.417752,0.661021,1.751816,120,0,181.537222,49.632881,24,1.0,0.125,3,3,0.22925,30.587417,68.712333,0.0,5.505842
2026-04-15T17:43:14,10,5,always_on,dexter,3.484165,1.009975,2.468143,120,0,118.814847,34.441533,24,1.0,0.125,3,3,0.373917,48.944125,71.362,0.0,8.41422
2026-04-15T17:43:17,10,6,baseline,none,0.944745,0.940331,0.0,120,0,127.614638,127.018379,0,0.0,0.0,0,3,0.404041,39.961875,69.160584,7.83269,0.0
2026-04-15T17:43:20,10,7,periodic,supabase,1.257303,0.70335,0.549943,120,0,170.612101,95.442365,7,0.291667,0.428571,3,3,0.247417,30.125042,69.286167,5.59362,6.500946
